trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.44932896411722156}",20,0,-174.58583861345662,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.20189651799465538}",25,0,-20.15020735042404,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.09071795328941247}",20,0,-16.033340418486713,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.04076220397836621}",20,0,-36.50969121428288,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.01831563888873418}",20,10,-5.821780370350906,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.008229747049020023}",30,9,-50.59451958891064,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.8, 'e': 0.003697863716482929}",25,0,-20.718289467732923,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.001661557273173934}",25,9,-69.98616480084526,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.8, 'e': 0.0007465858083766792}",20,0,16.115069149854154,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.00033546262790251185}",30,8,29.35308994492165,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.0001507330750954765}",35,25,15.89181784842567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 6.772873649085378e-05}",20,0,0.08075759523234505,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 3.0432483008403625e-05}",25,16,15.022212633593117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 1.3674196065680938e-05}",20,1,29.566365606429155,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 6.14421235332821e-06}",20,8,-64.1028426995863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.8, 'e': 2.7607725720371986e-06}",30,0,43.53787276646623,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 1.2404950799567113e-06}",25,9,23.87847480149494,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 5.573903692694596e-07}",25,7,26.103651509939137,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 2.504516372327617e-07}",25,0,3.215440104503272,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 1.1253517471925912e-07}",20,0,30.762204375844647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,31.386870209740813,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,3,33.7292609461479,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-72.91915889224755,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,12.754613228606434,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,29.09685746224151,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,5,15.724459517212132,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,4,18.203697549456983,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,16.122090023261617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-103.40071739073707,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,16,7.10337494875726,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
