trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
239,False,"{'a': 0.5, 'e': 0.9928708516677031}",30,0,-77.3499844389716,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.8141809705265618}",25,1,-111.61586042898769,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 2}",1
241,False,"{'a': 0.5, 'e': 0.4361511922464772}",35,9,-10.856021931557041,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.04866360920015389}",20,4,27.60567087474129,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.5215638619118831}",20,0,-149.6071449939537,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
244,False,"{'a': 0.5, 'e': 0.8667670910519801}",30,21,-36.261165430984086,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
245,False,"{'a': 0.5, 'e': 0.9997555067434422}",25,0,-94.5833566413964,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.8879689066918555}",30,16,-16.019307106362806,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.5587765492838215}",20,10,-29.022815617755715,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.09277620459766088}",20,10,7.809727286382109,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.39593899065726024}",25,12,-52.83678514769371,"{0: 9, 1: 0, 2: 1, 3: 3, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.7877145121442345}",20,0,-70.83550866389639,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.9866300485542645}",20,0,-25.54082495374516,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.9439841391523142}",20,2,-163.33453982157252,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 3}",1
253,False,"{'a': 0.5, 'e': 0.6702179898880674}",20,4,-38.27938174698225,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
