trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.6967067093471654}",20,0,-54.962976926989015,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.029199522301288815}",20,0,-7.272812808396347,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.7373937155412458}",25,0,-149.12981550860673,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.9982947757947531}",20,0,-26.290432640563935,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.6536436208636119}",20,0,-53.28556109604626,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.08749898343944727}",25,0,-10.737210333030198,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.7755658785102502}",25,0,-133.48869950030848,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9931849187581926}",20,6,-124.28917081787884,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 2}",1
9,False,"{'a': 0.8, 'e': 0.6083513145322546}",20,0,-79.81237483184518,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.14550003380861354}",20,8,0.5890990356721606,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.811093014061656}",20,0,-8.340750794551944,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.9846878557941267}",20,0,-114.67012663036449,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.5609842574272288}",30,0,-152.3594391348965,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.20300486381875213}",20,10,-23.281874421425513,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.8438539587324921}",20,0,-106.49359282347427,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.9728325656974354}",30,0,-279.13443410944654,"{0: 13, 1: 2, 2: 10, 3: 1, 4: 4}",0
17,False,"{'a': 0.8, 'e': 0.5117039924531475}",20,0,-0.9476495841927826,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.25981735621375585}",25,0,-8.673779027069061,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.873736983011081}",30,0,-124.80592326505149,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.9576594803233847}",20,0,-35.80081864516931,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.46067858741136253}",20,0,-17.92393320706695,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.31574375491924334}",25,18,11.212402415834429,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.90064017238477}",25,0,-116.04108723606,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.9392203466968696}",25,0,-129.77044868338146,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.408082061813392}",30,4,13.400590344063184,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.37059332583764143}",20,0,-115.67563650795769,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.9244717749141217}",20,0,-201.19779014463452,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
28,False,"{'a': 0.8, 'e': 0.9175780505318598}",25,0,-41.68959458417129,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.3540937933963556}",20,4,-109.5468756921211,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 3}",1
30,False,"{'a': 0.8, 'e': 0.424179007336997}",25,0,-36.21759692803877,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.9451505141481711}",25,0,-160.29766306871463,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.8928064017629097}",30,0,-182.76157197514934,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
33,False,"{'a': 0.8, 'e': 0.2988979063644682}",20,0,-47.43477345587396,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.4763180482150184}",35,15,6.9575592027431385,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.9626058663135666}",25,0,-191.78736445657378,"{0: 11, 1: 6, 2: 3, 3: 3, 4: 2}",0
36,False,"{'a': 0.8, 'e': 0.8649898828201886}",30,8,-158.1648370418306,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 2}",1
37,False,"{'a': 0.8, 'e': 0.24268264344292018}",30,0,-20.860494355040206,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.5268326309626121}",25,0,-37.28331142454971,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.8, 'e': 0.9767783008322618}",20,0,-167.7584724658593,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.8, 'e': 0.8342233605065102}",20,0,-127.20646446845119,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.8, 'e': 0.18563972388578434}",20,12,5.493703236017488,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.5755504782013432}",25,0,-50.0596676364853,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.9876194833474773}",35,0,-131.17033025920838,"{0: 22, 1: 2, 2: 7, 3: 4, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.8006117624589936}",25,3,-78.89732431984555,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 2}",1
