trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.8}",25,0,-88.57159789592873,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.6400000000000001}",25,0,-34.6029000607157,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.5120000000000001}",20,0,-51.411533984282784,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.4096000000000001}",20,0,-107.2819169004704,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.3276800000000001}",20,0,-90.43032348921712,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.2621440000000001}",25,0,-39.63093553944833,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.20971520000000007}",30,0,-100.95607336334932,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.1677721600000001}",20,0,-70.16042254836944,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.13421772800000006}",25,0,-91.72872238564264,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.10737418240000006}",25,0,-28.547191723634448,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.08589934592000005}",25,0,-0.1523758865361593,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.06871947673600004}",30,20,19.751715208388994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.05497558138880004}",30,21,15.074246977313038,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.043980465111040035}",30,11,4.051699021995631,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.03518437208883203}",25,0,31.95204846584385,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.028147497671065624}",25,0,24.524299976788676,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.022517998136852502}",25,3,16.406825677484893,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.018014398509482003}",25,3,21.456129221938887,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.014411518807585602}",30,18,1.9060237189346427,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.011529215046068483}",25,0,-2.3103246475387165,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,10,16.89820121249395,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,6,27.8947278929138,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,33.93977584452994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,23,21.243274693442416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,13.098688565963709,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-1.9413348804885389,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-31.26504282106732,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,10,18.550677108367637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,5,19.586199694134876,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,16.336918129737292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
