trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-64.30972418441354,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.25}",25,0,-123.6484406043127,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",25,14,-43.56246478940684,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.0625}",20,0,-47.301702494582244,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.04}",20,0,-57.956227884304894,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",30,0,-54.37677684461666,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,10,3.8253977057337547,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.015625}",20,0,20.655970512947455,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",20,0,-181.3386067023609,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
10,False,"{'a': 0.8, 'e': 0.01}",25,0,-43.038213531781494,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",30,0,33.731291668388806,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",20,0,-59.53136459956886,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",25,5,17.750963367826007,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,19,5.928119143181284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,0,-43.090068438520305,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.00390625}",20,12,14.263316497330706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",25,0,-4.58595344403831,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",20,0,-41.826628455707684,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.002770083102493075}",30,0,32.457094068293635,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.0025}",20,14,11.2547507023295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.0022675736961451248}",20,0,23.15934113234617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.002066115702479339}",20,0,25.724229466747428,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.001890359168241966}",35,0,19.053636116757783,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.001736111111111111}",20,0,17.89033695147012,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.0016}",20,0,26.787084855228702,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
