trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.6967067093471654}",25,5,-27.33944245610565,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': -0.029199522301288815}",30,18,-32.150992945947635,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.8, 'e': -0.7373937155412458}",25,0,-112.48788506729483,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.8, 'e': -0.9982947757947531}",35,23,-39.91358682772703,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': -0.6536436208636119}",20,4,-142.7556955947854,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 3}",1
6,False,"{'a': 0.8, 'e': 0.08749898343944727}",25,0,-159.07523446653727,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.8, 'e': 0.7755658785102502}",20,0,-99.40539883801358,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9931849187581926}",30,0,-191.33536380372314,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.6083513145322546}",25,15,-45.932916345955746,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.8, 'e': -0.14550003380861354}",25,0,-43.96093868745954,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.8, 'e': -0.811093014061656}",35,2,36.24930806938339,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': -0.9846878557941267}",20,0,-26.561312025675555,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': -0.5609842574272288}",25,0,-64.040528683896,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.20300486381875213}",25,0,-30.260024544988404,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.8438539587324921}",20,0,-107.07565457527454,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.9728325656974354}",30,0,-100.09327123677402,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.5117039924531475}",20,0,-100.1750074581121,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': -0.25981735621375585}",20,0,14.359932185717206,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': -0.873736983011081}",20,10,18.574818401995817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': -0.9576594803233847}",20,4,10.080864062768427,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,25.87657636639185,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,16,22.92668031876432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,34.51625409587245,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,41.83583616076089,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,25.518540907162954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,6.758908142998695,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,24.455595116765625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,22.826963156640744,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,12,17.85643385924238,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,21.010172420402252,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
